disease_name,symptoms,source,symptoms,processed_symptoms,named_entities
temporal lobe seizures in children,"Sudden bursts of anger or aggression An aura (warning sign of a seizure), such as nausea or smelling something that is not real Staring with no awareness of his or her surroundings Not responding when spoken to Lip smacking, chewing, or picking at his or her clothes without knowing he or she is doing it Confusion and speech or behavior problems after a seizure A headache or muscle pain after a seizure",drugs-com,"sudden bursts of anger or aggression an aura (warning sign of a seizure), such as nausea or smelling something that is not real staring with no awareness of his or her surroundings not responding when spoken to lip smacking, chewing, or picking at his or her clothes without knowing he or she is doing it confusion and speech or behavior problems after a seizure a headache or muscle pain after a seizure",sudden burst anger aggression aura warning sign seizure nausea smell real stare awareness surrounding respond speak lip smacking chewing pick clothe know confusion speech behavior problem seizure headache muscle pain seizure,"['sudden bursts', 'anger', 'aggression', 'aura', 'warning sign', 'seizure', 'nausea', 'smelling something', 'staring', 'awareness', 'surroundings', 'responding', 'spoken', 'lip smacking', 'chewing', 'clothes', 'confusion', 'speech', 'behavior problems', 'seizure', 'headache', 'muscle pain', 'seizure']"
temporomandibular disorder,"Popping or grating sound when you open or close your mouth Headache or pain in your jaw, ear, neck, or face Pain or swelling of the jaw muscles Tingling or numbness in the jaw or face Trouble opening or closing your mouth, or your jaw locks",drugs-com,"popping or grating sound when you open or close your mouth headache or pain in your jaw, ear, neck, or face pain or swelling of the jaw muscles tingling or numbness in the jaw or face trouble opening or closing your mouth, or your jaw locks",popping grating sound open close mouth headache pain jaw ear neck face pain swelling jaw muscle tingle numbness jaw face trouble opening close mouth jaw lock,"['popping', 'grating', 'sound', 'headache', 'pain', 'jaw', 'ear', 'neck', 'face pain', 'swelling', 'jaw muscles tingling', 'numbness', 'jaw', 'opening', 'closing', 'mouth']"
tendinitis,"You may have redness, pain, or swelling around your joint, tendon, or muscle. You may also have pain, stiffness, or decreased movement in your joint.",drugs-com,"you may have redness, pain, or swelling around your joint, tendon, or muscle. you may also have pain, stiffness, or decreased movement in your joint.",redness pain swell joint tendon muscle pain stiffness decrease movement joint,"['redness', 'pain', 'swelling', 'tendon', 'muscle', 'pain', 'stiffness', 'decreased', 'movement', 'joint']"
tendon laceration,The location of signs and symptoms may depend on where in your body your tendon is lacerated. You may have any of the following: A deep cut or wound in the skin that covers the tendon Trouble straightening or bending the body part with the tendon laceration Pain Swelling or bruising,drugs-com,the location of signs and symptoms may depend on where in your body your tendon is lacerated. you may have any of the following: a deep cut or wound in the skin that covers the tendon trouble straightening or bending the body part with the tendon laceration pain swelling or bruising,location sign symptom depend body tendon lacerate following deep cut wound skin cover tendon trouble straighten bend body tendon laceration pain swelling bruising,"['location', 'signs', 'symptoms', 'body', 'tendon', 'lacerated', 'deep cut', 'wound', 'skin', 'tendon', 'straightening', 'bending', 'body part', 'tendon laceration pain swelling', 'bruising']"
tendon rupture,Tearing or popping sound at the time of the injury Pain or tenderness in the area of the ruptured tendon Weakness or stiffness in the injured area Swelling Bruising Trouble walking or moving the area where the tendon rupture occurred,drugs-com,tearing or popping sound at the time of the injury pain or tenderness in the area of the ruptured tendon weakness or stiffness in the injured area swelling bruising trouble walking or moving the area where the tendon rupture occurred,tear popping sound time injury pain tenderness area ruptured tendon weakness stiffness injure area swelling bruising trouble walk move area tendon rupture occur,"['tearing', 'popping sound', 'injury pain', 'tenderness', 'area', 'ruptured', 'tendon weakness', 'stiffness', 'injured', 'area swelling bruising', 'trouble walking', 'moving', 'area', 'tendon rupture']"
tennis elbow,"Pain in your elbow that travels to your shoulder, forearm, or fingers Weakness in your wrist or hand Trouble holding, lifting, or grabbing an object, such as a coffee cup Red, swollen, or warm skin on the outside of your elbow",drugs-com,"pain in your elbow that travels to your shoulder, forearm, or fingers weakness in your wrist or hand trouble holding, lifting, or grabbing an object, such as a coffee cup red, swollen, or warm skin on the outside of your elbow",pain elbow travel shoulder forearm finger weakness wrist hand trouble holding lifting grab object coffee cup red swollen warm skin outside elbow,"['pain', 'elbow', 'shoulder', 'forearm', 'fingers weakness', 'wrist', 'hand trouble holding', 'lifting', 'grabbing', 'object', 'coffee', 'cup red', 'swollen', 'warm skin', 'elbow']"
tenosynovitis,"Pain, redness, or swelling that may get worse or be present at rest Fingers, toes, or ankles may click, lock, or snap Grating sound or feeling A bump on your toes or swollen fingers Stiffening of the fingers, ankle, or toes Weakness and limited movement of the affected part",drugs-com,"pain, redness, or swelling that may get worse or be present at rest fingers, toes, or ankles may click, lock, or snap grating sound or feeling a bump on your toes or swollen fingers stiffening of the fingers, ankle, or toes weakness and limited movement of the affected part",pain redness swelling bad present rest finger toe ankle click lock snap grating sound feel bump toe swollen finger stiffen finger ankle toe weakness limited movement affect,"['pain', 'redness', 'swelling', 'worse', 'fingers', 'toes', 'ankles', 'click', 'lock', 'snap', 'grating', 'toes', 'swollen fingers', 'stiffening', 'fingers', 'ankle', 'toes weakness', 'movement', 'affected']"
testicular cancer,A painless lump or change in how your testicle feels Your testicle becomes larger or smaller Swelling of your scrotum A feeling of heaviness in the scrotum A dull ache in the lower abdomen or in the groin Pain or discomfort in your testicle or scrotum Breast swelling or tenderness,drugs-com,a painless lump or change in how your testicle feels your testicle becomes larger or smaller swelling of your scrotum a feeling of heaviness in the scrotum a dull ache in the lower abdomen or in the groin pain or discomfort in your testicle or scrotum breast swelling or tenderness,painless lump change testicle feel testicle large small swelling scrotum feeling heaviness scrotum dull ache low abdoman groin pain discomfort testicle scrotum breast swelling tenderness,"['painless lump', 'change', 'testicle', 'testicle', 'larger', 'swelling', 'scrotum', 'heaviness', 'scrotum', 'dull ache', 'abdomen', 'groin pain', 'discomfort', 'testicle', 'scrotum', 'tenderness']"
testicular cancer,A painless lump or change in how your testicle feels; Your testicle becomes larger or smaller; Swelling of your scrotum; A feeling of heaviness in the scrotum; A dull ache in the lower abdomen or in the groin; Pain or discomfort in your testicle or scrotum; Breast swelling or tenderness,drugs-com,a painless lump or change in how your testicle feels; your testicle becomes larger or smaller; swelling of your scrotum; a feeling of heaviness in the scrotum; a dull ache in the lower abdomen or in the groin; pain or discomfort in your testicle or scrotum; breast swelling or tenderness,painless lump change testicle feel testicle large small swelling scrotum feeling heaviness scrotum dull ache low abdoman groin pain discomfort testicle scrotum breast swelling tenderness,"['painless lump', 'change', 'testicle', 'testicle', 'larger', 'smaller', 'swelling', 'scrotum', 'heaviness', 'scrotum', 'dull ache', 'abdomen', 'groin', 'pain', 'discomfort', 'testicle', 'scrotum', 'breast swelling', 'tenderness']"
testicular torsion,Severe pain and tenderness in your scrotum Red and swollen scrotum Testicles that appear to hang a bit higher than usual Nausea and vomiting,drugs-com,severe pain and tenderness in your scrotum red and swollen scrotum testicles that appear to hang a bit higher than usual nausea and vomiting,severe pain tenderness scrotum red swollen scrotum testicle appear hang bit high usual nausea vomiting,"['severe pain', 'tenderness', 'scrotum red', 'swollen scrotum', 'testicles', 'higher', 'nausea', 'vomiting']"
tetanus,"You may have stiff and weak muscles only in the area of the wound. This is called localized tetanus. Symptoms may go away without treatment, or they may spread. Infection that spreads is called generalized. You may develop any of the following within days or weeks of the infection: Lockjaw (a muscle spasm in the jaw and neck that locks your jaw closed) Muscle spasms that are severely painful, often triggered by noise, light, or touch Rigid facial muscles, or raised eyebrows with lips pulled into a grin Rigid abdomen, arm, and leg muscles Trouble breathing or swallowing Feeling restless or irritable, or a fast heartbeat or breathing A headache or seizures Sweating, trouble urinating, or a low fever",drugs-com,"you may have stiff and weak muscles only in the area of the wound. this is called localized tetanus. symptoms may go away without treatment, or they may spread. infection that spreads is called generalized. you may develop any of the following within days or weeks of the infection: lockjaw (a muscle spasm in the jaw and neck that locks your jaw closed) muscle spasms that are severely painful, often triggered by noise, light, or touch rigid facial muscles, or raised eyebrows with lips pulled into a grin rigid abdomen, arm, and leg muscles trouble breathing or swallowing feeling restless or irritable, or a fast heartbeat or breathing a headache or seizures sweating, trouble urinating, or a low fever",stiff weak muscle area wound call localized tetanus symptom away treatment spread infection spread call generalize develop following day week infection lockjaw muscle spasm jaw neck lock jaw close muscle spasm severely painful trigger noise light touch rigid facial muscle raise eyebrow lip pull grin rigid abdoman arm leg muscle trouble breathing swallow feel restless irritable fast heartbeat breathe headache seizure sweating trouble urinate low fever,"['stiff', 'weak', 'muscles', 'area', 'wound', 'localized', 'tetanus', 'symptoms', 'treatment', 'spread', 'infection', 'spreads', 'generalized', 'days', 'weeks', 'infection', 'lockjaw', 'muscle spasm', 'jaw', 'neck', 'locks', 'jaw closed', 'muscle spasms', 'severely painful', 'triggered by', 'noise', 'light', 'touch rigid facial muscles', 'eyebrows', 'lips', 'grin rigid abdomen', 'arm', 'leg muscles', 'breathing', 'swallowing feeling', 'restless', 'irritable', 'fast heartbeat', 'breathing', 'headache', 'seizures sweating', 'trouble urinating']"
tetanus in children,"Your child may have stiff and weak muscles only in the area of the wound. This is called localized tetanus. Symptoms may go away without treatment. Your newborn may start to have signs 3 to 14 days after birth. Your older child may develop signs or symptoms within days or months of the infection. The following are common signs and symptoms of tetanus: In newborns, trouble sucking and constant crying Lockjaw (a muscle spasm in the jaw and neck that locks your child's jaw closed) Muscle spasms that are severely painful, often triggered by noise, light, or touch Rigid facial muscles, or raised eyebrows with lips pulled into a grin Rigid abdomen, arm, and leg muscles Trouble breathing or swallowing Feeling restless or irritable, or a fast heartbeat or breathing A headache or seizures Sweating, trouble urinating, or a low fever",drugs-com,"your child may have stiff and weak muscles only in the area of the wound. this is called localized tetanus. symptoms may go away without treatment. your newborn may start to have signs 3 to 14 days after birth. your older child may develop signs or symptoms within days or months of the infection. the following are common signs and symptoms of tetanus: in newborns, trouble sucking and constant crying lockjaw (a muscle spasm in the jaw and neck that locks your child's jaw closed) muscle spasms that are severely painful, often triggered by noise, light, or touch rigid facial muscles, or raised eyebrows with lips pulled into a grin rigid abdomen, arm, and leg muscles trouble breathing or swallowing feeling restless or irritable, or a fast heartbeat or breathing a headache or seizures sweating, trouble urinating, or a low fever",child stiff weak muscle area wound call localized tetanus symptom away treatment newborn start sign 3 14 day birth old child develop sign symptom day month infection following common sign symptom tetanus newborn trouble suck constant crying lockjaw muscle spasm jaw neck lock child jaw close muscle spasm severely painful trigger noise light touch rigid facial muscle raise eyebrow lip pull grin rigid abdoman arm leg muscle trouble breathing swallow feel restless irritable fast heartbeat breathe headache seizure sweating trouble urinate low fever,"['child', 'stiff', 'weak', 'muscles', 'area', 'wound', 'localized', 'tetanus', 'symptoms', 'treatment', 'newborn', 'days', 'birth', 'older child', 'signs', 'symptoms', 'days', 'months', 'infection', 'signs', 'symptoms', 'tetanus', 'newborns', 'trouble sucking', 'constant', 'muscle spasm', 'jaw', 'neck', 'locks', ""child's jaw closed)"", 'muscle spasms', 'severely painful', 'triggered by', 'noise', 'light', 'touch rigid facial muscles', 'eyebrows', 'lips', 'grin rigid abdomen', 'arm', 'leg muscles', 'breathing', 'swallowing feeling', 'restless', 'irritable', 'fast heartbeat', 'breathing', 'headache', 'seizures sweating', 'trouble urinating']"
tethered cord syndrome,"Any of the following may worsen as you get older, play sports, or during pregnancy: Pain in your back that goes to your legs, hips, or genital area or is worse when you move Trouble moving your legs or walking Numb or weak legs Trouble feeling something that touches your legs or feet Trouble controlling your bladder or bowels",drugs-com,"any of the following may worsen as you get older, play sports, or during pregnancy: pain in your back that goes to your legs, hips, or genital area or is worse when you move trouble moving your legs or walking numb or weak legs trouble feeling something that touches your legs or feet trouble controlling your bladder or bowels",following worsen old play sport pregnancy pain go leg hip genital area bad trouble move leg walk numb weak leg trouble feel touch leg feet trouble control bladder bowel,"['worsen', 'older', 'sports', 'pregnancy', 'pain', 'legs', 'hips', 'genital area', 'moving', 'legs', 'walking numb', 'weak', 'legs trouble', 'legs', 'feet', 'controlling', 'bladder', 'bowels']"
tethered cord syndrome in children,"Sores, patches of hair, dimples, skin discoloration, or a fatty mass on the lower back Spinal column that is not shaped correctly, or scoliosis (curved spine) that gets worse Weak, numb, or tingling leg muscles Pain in the lower back that may spread to the legs (especially the backs of the legs) Loss of bladder or bowel control that gets worse, or bladder infections that happen often Muscle control problems in the legs Spasms or contractions in the leg muscles Changes in the feet, such as higher arches or curled toes, or leg deformities Problems with walking that get worse Tender spine",drugs-com,"sores, patches of hair, dimples, skin discoloration, or a fatty mass on the lower back spinal column that is not shaped correctly, or scoliosis (curved spine) that gets worse weak, numb, or tingling leg muscles pain in the lower back that may spread to the legs (especially the backs of the legs) loss of bladder or bowel control that gets worse, or bladder infections that happen often muscle control problems in the legs spasms or contractions in the leg muscles changes in the feet, such as higher arches or curled toes, or leg deformities problems with walking that get worse tender spine",sore patch hair dimple skin discoloration fatty mass low spinal column shape correctly scoliosis curve spine get worse weak numb tingle leg muscle pain low spread leg especially back leg loss bladder bowel control get bad bladder infection happen muscle control problem leg spasm contraction leg muscle change foot high arch curl toe leg deformity problem walk bad tender spine,"['sores', 'patches', 'hair', 'dimples', 'skin discoloration', 'fatty mass', 'lower back', 'scoliosis', 'curved spine', 'weak', 'numb', 'tingling leg muscles pain', 'spread', 'legs', 'backs', 'legs) loss', 'bladder', 'bowel control', 'worse', 'bladder infections', 'muscle control problems', 'legs spasms', 'contractions', 'leg muscles', 'changes', 'feet', 'arches', 'curled toes', 'leg', 'deformities', 'problems', 'walking', 'worse', 'tender spine']"
tetralogy of fallot in children,"Blue coloration of the skin, lips, and nailbeds Poor appetite, slow growth, or problems putting on weight Clubbing (abnormal rounded shape) of fingertips and nails Tires easily or feels tired more than usual Sudden shortness of breath and fast breathing during feedings Fainting Fussy and irritable Heart murmur",drugs-com,"blue coloration of the skin, lips, and nailbeds poor appetite, slow growth, or problems putting on weight clubbing (abnormal rounded shape) of fingertips and nails tires easily or feels tired more than usual sudden shortness of breath and fast breathing during feedings fainting fussy and irritable heart murmur",blue coloration skin lip nailbeds poor appetite slow growth problem put weight clubbing abnormal rounded shape fingertip nail tire easily feel tired usual sudden shortness breath fast breathing feeding faint fussy irritable heart murmur,"['blue coloration', 'skin', 'lips', 'nailbeds poor appetite', 'slow growth', 'problems', 'weight clubbing', 'abnormal rounded shape', 'fingertips', 'nails tires', 'sudden shortness', 'breath', 'fast breathing', 'feedings', 'fainting', 'fussy', 'irritable heart murmur']"
thoracic aortic aneurysm,"You may have no signs or symptoms. You may have any of the following if your TAA grows, bursts, or tears: Pain in your chest, neck, back, or abdomen A cough or wheeze Hoarse voice Trouble swallowing or pain when you swallow Trouble breathing or shortness of breath Coughing or vomiting up blood",drugs-com,"you may have no signs or symptoms. you may have any of the following if your taa grows, bursts, or tears: pain in your chest, neck, back, or abdomen a cough or wheeze hoarse voice trouble swallowing or pain when you swallow trouble breathing or shortness of breath coughing or vomiting up blood",sign symptom follow taa grow burst tear pain chest neck abdomen cough wheeze hoarse voice trouble swallow pain swallow trouble breathing shortness breath coughing vomiting blood,"['symptoms', 'grows', 'bursts', 'tears', 'pain', 'chest', 'neck', 'back', 'abdomen', 'cough', 'wheeze hoarse', 'swallowing', 'pain', 'swallow', 'shortness', 'breath coughing', 'vomiting up']"
thoracic disc herniation,"Mild herniation may not cause any signs or symptoms. You may have any of the following if the herniated disc presses against your nerves or spinal cord: Pain in the upper or middle part of your back or your chest Pain radiating to the forearm Band-like pain travelling from the back to the abdomen/chest on one or both sides of the body Headaches when you sit or lie in certain positions Numbness, tingling, or a burning feeling in your legs Trouble walking or moving your legs Weakness in your arms or legs Trouble urinating or having a bowel movement",drugs-com,"mild herniation may not cause any signs or symptoms. you may have any of the following if the herniated disc presses against your nerves or spinal cord: pain in the upper or middle part of your back or your chest pain radiating to the forearm band-like pain travelling from the back to the abdomen/chest on one or both sides of the body headaches when you sit or lie in certain positions numbness, tingling, or a burning feeling in your legs trouble walking or moving your legs weakness in your arms or legs trouble urinating or having a bowel movement",mild herniation cause sign symptom following herniated disc press nerve spinal cord pain upper middle chest pain radiate forearm band-like pain travel abdomen/ch side body headache sit lie certain position numbness tingling burn feeling leg trouble walk move leg weakness arm leg trouble urinate have bowel movement,"['mild', 'herniation', 'signs', 'symptoms', 'herniated disc presses', 'nerves', 'spinal cord', 'pain', 'upper', 'middle part', 'chest pain', 'forearm', 'band-like pain', 'abdomen/chest', 'body headaches', 'positions numbness', 'tingling', 'burning feeling', 'legs trouble walking', 'moving', 'legs weakness', 'arms', 'legs trouble', 'bowel', 'movement']"
thoracic outlet syndrome,"You may feel symptoms on one side of your body, or on both sides. Signs and symptoms may come and go. They may get worse when your arm is raised above shoulder level. They may also get worse after activity, such as throwing a ball. You may have any of the following: Pain or tingling in your head, neck, shoulder, arm, or hand Numbness in your arm or hand Swelling and aching in your arm or hand A cold, pale, or bluish arm or hand",drugs-com,"you may feel symptoms on one side of your body, or on both sides. signs and symptoms may come and go. they may get worse when your arm is raised above shoulder level. they may also get worse after activity, such as throwing a ball. you may have any of the following: pain or tingling in your head, neck, shoulder, arm, or hand numbness in your arm or hand swelling and aching in your arm or hand a cold, pale, or bluish arm or hand",feel symptom body side sign symptom come bad arm raise shoulder level bad activity throw ball following pain tingle head neck shoulder arm hand numbness arm hand swelling ache arm hand cold pale bluish arm hand,"['symptoms', 'sides', 'signs', 'symptoms', 'worse', 'shoulder', 'level', 'worse', 'activity', 'ball', 'pain', 'tingling', 'head', 'neck', 'shoulder', 'arm', 'hand numbness', 'hand swelling', 'aching', 'hand a', 'cold', 'pale', 'bluish arm', 'hand']"
thoracolumbar fracture,"Pain that increases during movement Limited movement of your back Abnormal curve of the spine Bruising and swelling on your back Numbness, weakness, or paralysis of your legs",drugs-com,"pain that increases during movement limited movement of your back abnormal curve of the spine bruising and swelling on your back numbness, weakness, or paralysis of your legs",pain increase movement limited movement abnormal curve spine bruising swell numbness weakness paralysis leg,"['pain', 'increases', 'movement', 'movement', 'spine bruising', 'swelling', 'back numbness', 'weakness', 'paralysis', 'legs']"
threatened miscarriage,Vaginal spotting or bleeding Pain or cramping in your abdomen or lower back,drugs-com,vaginal spotting or bleeding pain or cramping in your abdomen or lower back,vaginal spotting bleed pain cramp abdoman low,"['vaginal spotting', 'bleeding pain', 'cramping', 'abdomen', 'lower back']"
thrombocytopenia,Your signs and symptoms depend on your platelet count. A lower platelet count will cause more severe symptoms. You may not have any symptoms. You may bleed or bruise more easily or have tiny red or purple spots on your skin. You may feel tired or bleed from your gums or nose. You may have blood in your urine or bowel movement. You may have heavy menstrual bleeding if you are a woman.,drugs-com,your signs and symptoms depend on your platelet count. a lower platelet count will cause more severe symptoms. you may not have any symptoms. you may bleed or bruise more easily or have tiny red or purple spots on your skin. you may feel tired or bleed from your gums or nose. you may have blood in your urine or bowel movement. you may have heavy menstrual bleeding if you are a woman.,sign symptom depend platelet count low platelet count cause severe symptom symptom bleed bruise easily tiny red purple spot skin feel tired bleed gum nose blood urine bowel movement heavy menstrual bleeding woman,"['signs', 'symptoms', 'platelet count', 'lower platelet count', 'severe', 'symptoms', 'symptoms', 'bleed', 'bruise', 'tiny red', 'purple spots', 'skin', 'tired', 'bleed', 'gums', 'nose', 'blood', 'urine', 'bowel movement', 'heavy menstrual bleeding', 'woman']"
thrombotic thrombocytopenic purpura,"Red or purple dots or bruises on the skin or mucus membranes (such as in the mouth) Paleness or jaundice (yellow coloring of the skin or whites of the eyes) Fatigue, achiness, weakness, or fever Headache, confusion, or being less awake than usual Urinating less than usual or not at all Abdominal pain, nausea, or vomiting",drugs-com,"red or purple dots or bruises on the skin or mucus membranes (such as in the mouth) paleness or jaundice (yellow coloring of the skin or whites of the eyes) fatigue, achiness, weakness, or fever headache, confusion, or being less awake than usual urinating less than usual or not at all abdominal pain, nausea, or vomiting",red purple dot bruise skin mucus membrane mouth paleness jaundice yellow coloring skin white eye fatigue achiness weakness fever headache confusion awake usual urinate usual abdominal pain nausea vomiting,"['red', 'purple dots', 'bruises', 'skin', 'mucus membranes', 'mouth', 'paleness', 'jaundice', 'yellow coloring', 'skin', 'whites', 'eyes', 'fatigue', 'achiness', 'weakness', 'fever headache', 'confusion', 'awake', 'urinating', 'usual', 'abdominal pain', 'nausea', 'vomiting']"
thumb fracture,Pain and swelling Little or no thumb movement Thumb shape or position that is not normal,drugs-com,pain and swelling little or no thumb movement thumb shape or position that is not normal,pain swell little thumb movement thumb shape position normal,"['pain', 'swelling', 'shape', 'position']"
thyroid cancer,"One or more lumps in your neck Cough, hoarseness, or changes in your voice Trouble swallowing or breathing Neck or throat pain",drugs-com,"one or more lumps in your neck cough, hoarseness, or changes in your voice trouble swallowing or breathing neck or throat pain",lump neck cough hoarseness change voice trouble swallow breathing neck throat pain,"['lumps', 'neck cough', 'hoarseness', 'changes', 'voice trouble', 'swallowing', 'breathing neck', 'throat pain']"
thyroid cancer,"One or more lumps in your neck; Cough, hoarseness, or changes in your voice; Trouble swallowing or breathing; Neck or throat pain",drugs-com,"one or more lumps in your neck; cough, hoarseness, or changes in your voice; trouble swallowing or breathing; neck or throat pain",lump neck cough hoarseness change voice trouble swallow breathing neck throat pain,"['lumps', 'neck', 'cough', 'hoarseness', 'changes', 'voice', 'swallowing', 'breathing', 'neck', 'throat pain']"
thyroid goiter,"A small goiter may have no signs or symptoms. As your goiter grows, you may be able to see a lump on your neck. A large goiter may press on your airway or neck veins and cause the following: A cough or choking Flushed face and swollen neck veins Hoarse voice Noisy, high-pitched breathing Pain when you swallow or trouble swallowing Trouble breathing when you lie down",drugs-com,"a small goiter may have no signs or symptoms. as your goiter grows, you may be able to see a lump on your neck. a large goiter may press on your airway or neck veins and cause the following: a cough or choking flushed face and swollen neck veins hoarse voice noisy, high-pitched breathing pain when you swallow or trouble swallowing trouble breathing when you lie down",small goiter sign symptom goiter grow able lump neck large goiter press airway neck vein cause following cough choke flush face swollen neck vein hoarse voice noisy high-pitched breathing pain swallow trouble swallow trouble breathing lie,"['small goiter', 'symptoms', 'goiter', 'neck', 'goiter', 'airway', 'neck veins', 'cause', 'cough', 'choking flushed', 'swollen neck veins', 'hoarse', 'voice noisy', 'high-pitched breathing pain', 'swallow']"
thyroid nodules,"A small nodule may have no signs or symptoms. As your nodule grows, you may be able to see a lump on your neck. A large nodule may press on your airway or neck veins and cause the following: A cough or choking and hoarse voice Flushed face and swollen neck or neck veins Noisy, high-pitched breathing Pain when you swallow or trouble swallowing Trouble breathing when you lie down",drugs-com,"a small nodule may have no signs or symptoms. as your nodule grows, you may be able to see a lump on your neck. a large nodule may press on your airway or neck veins and cause the following: a cough or choking and hoarse voice flushed face and swollen neck or neck veins noisy, high-pitched breathing pain when you swallow or trouble swallowing trouble breathing when you lie down",small nodule sign symptom nodule grow able lump neck large nodule press airway neck vein cause following cough choke hoarse voice flush face swollen neck neck vein noisy high-pitched breathing pain swallow trouble swallow trouble breathing lie,"['small nodule', 'symptoms', 'nodule', 'grows', 'neck', 'nodule', 'airway', 'neck veins', 'cause', 'cough', 'choking', 'hoarse', 'flushed face', 'swollen neck', 'neck veins', 'high-pitched breathing pain', 'swallow']"
tick bite,"Signs and symptoms may develop right away, or weeks or even months after a bite. You may have redness, pain, itching, and swelling near the bite area. Blisters may also develop. You may develop tick paralysis, a temporary condition that causes problems with leg movement. A disease from a tick bite may cause a fever, rash, body aches, or breathing problems.",drugs-com,"signs and symptoms may develop right away, or weeks or even months after a bite. you may have redness, pain, itching, and swelling near the bite area. blisters may also develop. you may develop tick paralysis, a temporary condition that causes problems with leg movement. a disease from a tick bite may cause a fever, rash, body aches, or breathing problems.",sign symptom develop right away week month bite redness pain itching swell near bite area blister develop develop tick paralysis temporary condition cause problem leg movement disease tick bite cause fever rash body ache breathing problem,"['signs', 'symptoms', 'weeks', 'months', 'bite', 'redness', 'pain', 'itching', 'swelling', 'bite', 'area', 'blisters', 'tick', 'paralysis', 'temporary', 'condition', 'problems', 'leg', 'movement', 'disease', 'tick bite', 'fever', 'rash', 'body aches', 'breathing problems']"
tinea capitis,"Hair loss Raised, scaly skin Itchy scalp Black dots on the scalp from broken hairs Small, round bumps",drugs-com,"hair loss raised, scaly skin itchy scalp black dots on the scalp from broken hairs small, round bumps",hair loss raise scaly skin itchy scalp black dot scalp break hair small round bump,"['hair loss', 'scaly skin itchy', 'scalp', 'black dots', 'scalp', 'hairs', 'small', 'round bumps']"
tinea corporis,"Tinea corporis may begin as 1 or more flat, red patches. As the infection grows, it spreads out in a circle or ring, leaving normal-looking skin in the middle. At the edge of the ring, the skin is red and raised. It may be either dry and scaly, or moist and crusty. The infected skin may itch. The infection looks like you have a worm under your skin, but there is no worm.",drugs-com,"tinea corporis may begin as 1 or more flat, red patches. as the infection grows, it spreads out in a circle or ring, leaving normal-looking skin in the middle. at the edge of the ring, the skin is red and raised. it may be either dry and scaly, or moist and crusty. the infected skin may itch. the infection looks like you have a worm under your skin, but there is no worm.",tinea corporis begin 1 flat red patch infection grow spread circle ring leave normal-looking skin middle edge ring skin red raise dry scaly moist crusty infected skin itch infection look like worm skin worm,"['tinea corporis', 'flat', 'red patches', 'infection', 'circle', 'ring', 'normal-looking skin', 'middle', 'ring', 'skin', 'red', 'raised', 'dry', 'scaly', 'moist', 'crusty', 'infected', 'skin', 'itch', 'infection', 'worm', 'skin']"
tinea versicolor,"You may not have any symptoms until you see spots on your skin. You may have many oval, patchy spots on your chest, back, arms, or face. They may be white, pink, red, or brown. The spots may be close together and cover a large area. They may be lighter than the rest of your skin in summer and darker in winter. The spots may itch.",drugs-com,"you may not have any symptoms until you see spots on your skin. you may have many oval, patchy spots on your chest, back, arms, or face. they may be white, pink, red, or brown. the spots may be close together and cover a large area. they may be lighter than the rest of your skin in summer and darker in winter. the spots may itch.",symptom spot skin oval patchy spot chest arm face white pink red brown spot close cover large area light rest skin summer dark winter spot itch,"['symptoms', 'spots', 'skin', 'oval', 'patchy spots', 'chest', 'back', 'arms', 'face', 'white', 'pink', 'red', 'brown', 'spots', 'large area', 'skin', 'summer', 'darker', 'winter', 'spots', 'itch']"
tobacco stomatitis,You may not know you have tobacco stomatitis. It may be found during a routine dental or physical examination. You may notice the sores but find that they do not change or worsen for years. Tobacco stomatitis begins as redness on the hard palate (roof) of your mouth that is darker than usual. Thick white sores or patches with a red dot in each center then begin to form. Small salivary glands on the roof of your mouth also become inflamed. This may cause some discomfort.,drugs-com,you may not know you have tobacco stomatitis. it may be found during a routine dental or physical examination. you may notice the sores but find that they do not change or worsen for years. tobacco stomatitis begins as redness on the hard palate (roof) of your mouth that is darker than usual. thick white sores or patches with a red dot in each center then begin to form. small salivary glands on the roof of your mouth also become inflamed. this may cause some discomfort.,know tobacco stomatitis find routine dental physical examination notice sore find change worsen year tobacco stomatitis begin redness hard palate roof mouth dark usual thick white sore patch red dot center begin form small salivary gland roof mouth inflamed cause discomfort,"['tobacco stomatitis', 'routine', 'dental', 'physical examination', 'sores', 'worsen', 'years', 'tobacco stomatitis', 'redness', 'hard palate', 'roof', 'mouth', 'darker', 'usual', 'white sores', 'patches', 'red dot', 'center', 'small salivary glands', 'roof', 'mouth', 'inflamed', 'discomfort']"
toe fracture,"Pain, redness, swelling, or bruising Not being able to bend or move your toe Not being able to walk or put weight on your toe Toe is bent at an angle that is not normal",drugs-com,"pain, redness, swelling, or bruising not being able to bend or move your toe not being able to walk or put weight on your toe toe is bent at an angle that is not normal",pain redness swelling bruising able bend toe able walk weight toe toe bent angle normal,"['pain', 'redness', 'swelling', 'bruising', 'bend', 'walk', 'toe toe', 'bent', 'angle']"
toe fracture in children,"Pain, redness, swelling, or bruising Not being able to bend or move the toe Not being able to walk or put weight on the toe Toe is bent at an angle that is not normal",drugs-com,"pain, redness, swelling, or bruising not being able to bend or move the toe not being able to walk or put weight on the toe toe is bent at an angle that is not normal",pain redness swelling bruising able bend toe able walk weight toe toe bent angle normal,"['pain', 'redness', 'swelling', 'bruising', 'bend', 'toe not', 'walk', 'toe toe', 'bent', 'angle']"
